Tenor,spread_1m_2m,spread_1m_3m,spread_7m_8m,spread_8m_9m,spread_9m_10m,spread_10m_11m,spread_11m_1y,spread_1y_14m,fly_1m_2m_3m,fly_2m_3m_4m,fly_3m_4m_5m,fly_4m_5m_6m,fly_5m_6m_7m,fly_6m_7m_8m,fly_7m_8m_9m,fly_8m_9m_10m,fly_9m_10m_11m,fly_10m_11m_1y,fly_11m_1y_14m,fly_14m_2y_3y
2018-08-10,4.50999999999997,11.73999999999999,13.03999999999998,18.85000000000003,14.67000000000001,13.68999999999998,14.12000000000004,24.09999999999997,2.720000000000056,7.859999999999978,-1.679999999999993,3.069999999999951,0.8100000000000662,-4.250000000000043,5.80999999999996,-4.180000000000028,-0.9800000000000253,0.4300000000000637,9.979999999999833,-6.820000000000093
2018-08-13,4.980000000000029,12.75000000000004,11.80999999999992,14.92000000000004,13.84999999999996,13.26000000000001,13.27000000000007,23.65999999999993,2.789999999999893,3.770000000000095,1.989999999999981,5.059999999999931,-2.090000000000103,-4.690000000000083,3.110000000000213,-1.069999999999993,-0.5899999999998684,0.01000000000015433,10.38999999999994,-6.249999999999645
2018-08-14,4.640000000000022,11.38000000000003,11.66999999999998,21.38,10.32999999999999,7.209999999999983,12.45000000000003,22.17000000000002,2.10000000000008,2.769999999999939,4.350000000000165,2.280000000000015,-3.059999999999974,-1.410000000000089,9.70999999999993,-11.05,-3.120000000000012,5.240000000000045,9.719999999999906,-2.239999999999753
2018-08-15,4.639999999999933,12.50999999999998,11.56999999999995,13.45000000000001,11.40000000000008,13.00999999999997,13.08999999999996,23.05000000000001,3.230000000000111,3.129999999999988,2.639999999999887,2.180000000000071,-3.120000000000012,-1.130000000000031,1.880000000000059,-2.049999999999841,1.6099999999998,0.07999999999999119,9.960000000000058,-0.5100000000002325
2018-08-16,4.089999999999971,11.58000000000001,14.05000000000003,17.87999999999998,9.269999999999978,13.53999999999997,12.77000000000008,23.57999999999993,3.40000000000007,3.260000000000041,2.099999999999902,9.469999999999956,-17.32000000000014,9.050000000000047,3.829999999999956,-8.610000000000007,4.269999999999996,-0.7699999999998042,10.80999999999985,-0.6700000000002149
2018-08-17,3.970000000000073,11.94000000000006,14.81000000000003,15.33999999999995,8.300000000000018,13.56999999999999,12.38000000000001,22.82000000000002,3.999999999999915,1.860000000000106,1.669999999999838,4.210000000000136,-1.100000000000101,0.2000000000000668,0.5300000000000082,-7.039999999999935,5.269999999999975,-1.189999999999891,10.44,1.200000000000045
2018-08-20,5.600000000000005,13.46999999999996,15.28,14.90999999999998,13.14000000000002,13.60999999999999,12.68000000000002,22.04999999999995,2.269999999999861,3.40000000000007,3.049999999999997,-0.3899999999999793,0.8000000000000895,0.5499999999999616,-0.3700000000000259,-1.76999999999996,0.4699999999999704,-0.9299999999999642,9.369999999999834,-0.9100000000003661
2018-08-21,8.220000000000027,23.19000000000004,17.70999999999994,19.44000000000008,14.77999999999993,14.36999999999999,14.00000000000006,23.64999999999995,6.750000000000078,-0.3400000000000958,3.510000000000169,-1.999999999999957,1.379999999999981,0.1899999999999125,1.730000000000054,-4.660000000000153,-0.4099999999999326,-0.3699999999998482,9.649999999999892,-2.940000000000254
2018-08-22,6.379999999999963,15.93999999999998,15.56999999999995,16.23999999999999,13.64999999999998,12.92,13.07,23.5100000000001,3.180000000000049,1.720000000000077,3.149999999999942,3.379999999999939,-3.999999999999915,1.759999999999806,0.6700000000000372,-2.590000000000003,-0.730000000000075,0.1500000000000057,10.44000000000018,-12.01000000000008
2018-08-23,14.78999999999999,22.48000000000001,18.24000000000003,16.01999999999997,15.12000000000002,13.87,13.89999999999993,24.59000000000007,-7.099999999999973,6.229999999999869,3.110000000000035,2.699999999999925,-1.29999999999999,-0.1899999999999125,-2.219999999999978,-0.8999999999998565,-1.249999999999929,0.02999999999993008,10.68999999999996,-1.689999999999969
2018-08-24,7.189999999999941,20.16,16.00999999999999,15.59999999999997,13.57999999999997,11.96999999999999,12.92000000000009,23.93999999999998,5.780000000000207,2.679999999999794,0.4699999999999704,4.490000000000016,-3.819999999999979,-0.7800000000001361,-0.4099999999999326,-2.019999999999911,-1.609999999999978,0.9500000000000952,11.0199999999999,-3.440000000000154
