,Mexico
2022-01-07,113.45664296154293
2022-01-10,113.70511545935014
2022-01-11,113.59709448157183
2022-01-12,113.5081845651908
2022-01-13,113.58300744907059
2022-01-14,113.87222083045927
2022-01-18,113.78732847538421
2022-01-19,113.63245659540591
2022-01-20,113.86770365288727
2022-01-21,113.86005023588687
2022-01-24,113.59154421241769
2022-01-25,113.44271983166674
2022-01-26,113.69285862525606
2022-01-27,113.74800310745982
2022-01-28,113.76308599780691
2022-01-31,113.38921887208917
2022-02-01,113.00295201422176
2022-02-02,113.1510797388705
2022-02-03,113.12079224993738
2022-02-04,113.08812646927106
2022-02-08,112.88776288423944
2022-02-09,112.83388344352807
2022-02-10,112.9321368346837
2022-02-11,113.49233056114613
2022-02-14,113.21893777433701
2022-02-15,113.2044664547227
2022-02-16,113.02710975825062
2022-02-17,112.80378722439839
2022-02-18,112.82305746793983
2022-02-22,112.98080826113812
2022-02-23,113.02245571664587
2022-02-24,113.20832884155129
2022-02-25,113.42031677753096
2022-02-28,113.05714939225966
2022-03-01,112.87855062561182
2022-03-02,113.11013909321028
2022-03-03,113.34031941357074
2022-03-04,113.31494691883042
2022-03-07,113.83632370684056
2022-03-08,114.16927684361957
2022-03-09,114.19344413801127
2022-03-10,114.32838042938491
2022-03-11,114.35656906032557
2022-03-14,114.09808961402383
2022-03-15,115.1250782772777
2022-03-16,115.94642012038874
2022-03-17,116.06894087755674
2022-03-18,115.13066685565664
2022-03-22,115.22243482771566
2022-03-23,114.72111463058008
2022-03-24,115.22373459209463
2022-03-25,115.17520165886476
2022-03-28,114.40902220101354
2022-03-29,114.14012945613136
2022-03-30,114.8902642572909
2022-03-31,114.78183428563224
2022-04-01,114.9261775474973
2022-04-04,115.42126905892154
2022-04-05,115.97154027573234
2022-04-06,116.3592862758048
2022-04-07,116.36300271798747
2022-04-08,116.50636521850282
2022-04-11,116.61416673834668
2022-04-12,116.79954723100228
2022-04-13,116.74829701800115
2022-04-18,116.91795680229208
2022-04-19,116.8376145494748
2022-04-20,116.41289105123509
2022-04-21,115.29964550566415
2022-04-22,115.06654934419683
2022-04-25,115.77465849527073
2022-04-26,116.34105108180964
2022-04-27,116.50405541853081
2022-04-28,116.36403714460516
2022-04-29,116.15017083049908
2022-05-02,116.09097955810941
2022-05-03,116.56586621099858
2022-05-04,116.94137107710996
2022-05-05,117.3585924178006
2022-05-06,117.89442682592191
2022-05-09,117.96190127742521
2022-05-10,118.87605578162261
2022-05-11,119.0564213748844
2022-05-12,119.57104953054511
2022-05-13,119.59503767628638
2022-05-16,119.6809387900263
2022-05-17,119.32186835658764
2022-05-18,119.13077672771183
2022-05-19,119.3402873366858
2022-05-20,119.68508934441628
2022-05-24,119.08314555891242
2022-05-25,119.01298416513029
2022-05-26,119.20403953522394
2022-05-27,119.651944448353
2022-05-31,119.58304481267173
2022-06-01,119.37213894648977
2022-06-02,119.23874831294103
2022-06-03,118.78669312193679
2022-06-06,118.74304086381828
2022-06-07,118.90519328966187
2022-06-08,119.04470385889594
2022-06-09,119.05198987985987
2022-06-10,119.29626215015878
2022-06-13,119.49639220420035
2022-06-14,119.4183798316173
2022-06-15,119.33504972102995
2022-06-16,119.55471550652904
2022-06-17,119.411135234223
2022-06-21,119.49653904262367
2022-06-22,119.92516273838949
2022-06-23,119.5626804823321
2022-06-24,119.68765421761331
2022-06-27,119.93250376606721
2022-06-28,120.07440894215145
2022-06-29,120.01573802354395
2022-06-30,119.82783097635897
2022-07-01,120.09862972952978
2022-07-05,120.05420455268066
2022-07-06,120.04840982542906
2022-07-07,119.87788747970123
2022-07-08,119.86800771119994
2022-07-11,120.09214513901465
2022-07-12,120.19900769418557
2022-07-13,119.71399159099872
2022-07-14,119.85159134842986
2022-07-15,120.00451346523033
2022-07-18,119.80552926313766
2022-07-19,119.82034780742936
2022-07-20,119.86415120324736
2022-07-21,119.87574284794975
2022-07-22,119.86191002169227
2022-07-25,120.34164890276413
2022-07-26,120.12815810364476
2022-07-27,120.32704660947083
2022-07-28,119.73531720759058
2022-07-29,120.07685897604503
2022-08-01,120.087859675771
2022-08-02,119.41641882351448
2022-08-03,119.72037887758702
2022-08-04,119.68794519855341
2022-08-05,119.91961460107723
2022-08-08,120.10362767502328
2022-08-09,119.69716679311497
2022-08-10,119.17727728888939
2022-08-11,118.94112613716707
2022-08-12,119.42388527784456
2022-08-15,119.49107039768244
2022-08-16,119.45787304487993
2022-08-17,119.33775305871497
2022-08-18,119.13369792078889
2022-08-19,118.78471819144146
2022-08-22,119.10727506374977
2022-08-23,118.9266525314311
2022-08-24,118.89795369541818
2022-08-25,119.30416981595491
2022-08-26,119.85737898038731
2022-08-29,120.14122118423498
2022-08-30,120.1019095021789
2022-08-31,120.15937128226437
2022-09-01,120.44553274128624
2022-09-02,120.49844981190925
2022-09-06,120.66496906784793
2022-09-07,120.50648057027841
2022-09-08,120.66276727588536
2022-09-09,120.6642844021305
2022-09-12,120.95455317117411
2022-09-13,120.3551488711025
2022-09-14,120.16833542060672
2022-09-15,120.18895053118968
2022-09-16,120.24998680884553
2022-09-19,120.25340024334746
2022-09-20,120.545112775775
2022-09-21,120.17846691534213
2022-09-22,120.54070626492775
2022-09-23,120.61108218303997
2022-09-26,121.79807513426042
2022-09-27,121.87757815562034
2022-09-28,121.87441042991982
2022-09-29,122.2026909755638
2022-09-30,122.05224655364582
2022-10-03,122.418943311163
2022-10-04,122.45839327425256
2022-10-05,122.20824036782889
2022-10-06,122.19868315468403
2022-10-07,121.8046019904462
2022-10-11,121.57060008667273
2022-10-12,121.64189626114428
2022-10-13,121.95001609424642
2022-10-14,121.63322386037932
2022-10-17,121.6849525486011
2022-10-18,121.51392004740586
2022-10-19,121.39803019366244
2022-10-20,121.195775606575
2022-10-21,120.56423189428882
2022-10-24,120.41438976368688
2022-10-25,120.79522663118118
2022-10-26,121.09180462226028
2022-10-27,121.0920248970616
2022-10-28,120.9936644516242
2022-10-31,120.94139549524989
2022-11-01,121.03354583900443
2022-11-03,120.72068250403322
2022-11-04,120.79161104149722
2022-11-07,120.70957819673494
2022-11-08,121.23055056003842
2022-11-09,120.7040706778786
2022-11-10,120.02048350549804
2022-11-14,120.50113597314291
2022-11-15,120.59309005178325
2022-11-16,121.24936687242098
2022-11-17,121.33756676793396
2022-11-18,121.62088715908537
2022-11-22,121.70818704694604
2022-11-23,121.87477442958009
2022-11-25,121.88021762656767
