,EU
2022-09-08,114.46097297845901
2022-09-09,114.72958859425813
2022-09-12,114.83092839402231
2022-09-13,114.83537859765359
2022-09-14,115.14170332947174
2022-09-15,115.37251567429074
2022-09-16,115.48060792401012
2022-09-19,115.48060792401012
2022-09-20,115.46041771330728
2022-09-21,115.45720590907548
2022-09-22,115.43784704903908
2022-09-23,115.43778564701577
2022-09-26,115.43778564701577
2022-09-27,115.43778564701577
2022-09-28,115.41808032157135
2022-09-29,115.6048244802048
2022-09-30,115.6048244802048
2022-10-03,115.58304761747505
2022-10-04,115.57540687782979
2022-10-05,116.0212460056272
2022-10-06,115.8588959612297
2022-10-07,115.96912901114432
2022-10-10,115.94574715432688
2022-10-11,115.42149828770843
2022-10-12,115.19442672544595
2022-10-13,115.18340356023171
2022-10-14,115.02620504256822
2022-10-17,115.34333499514582
2022-10-18,115.32032296444508
2022-10-19,115.28246763132894
2022-10-20,115.59605506409238
2022-10-21,115.59605506409238
2022-10-24,115.57266445466678
2022-10-25,116.00784564842684
2022-10-26,115.78063533580473
2022-10-27,116.3023263905715
2022-10-28,117.09302102303593
2022-10-31,117.67900799256815
2022-11-01,117.65786912436613
2022-11-02,117.60740211807328
2022-11-03,117.86392824161422
2022-11-04,117.86392824161422
2022-11-07,117.84311760175324
2022-11-08,118.21951693181674
2022-11-09,117.96984478760623
2022-11-10,117.94928710206834
2022-11-11,118.12964291851218
2022-11-14,117.88098701083254
2022-11-15,117.95480294279767
2022-11-16,117.72503394820495
2022-11-17,117.95666116970666
2022-11-18,118.35288516329408
2022-11-21,118.53243553972659
2022-11-22,118.53243553972659
2022-11-23,118.53243553972659
2022-11-24,118.53243553972659
2022-11-25,118.51126450668026
2022-11-28,118.59260149655057
2022-11-29,118.23291808521282
2022-11-30,118.24081606131462
2022-12-01,117.9514621068979
2022-12-02,118.0869658375621
2022-12-05,118.34143324839212
2022-12-06,118.23228720427099
2022-12-07,118.10339820494524
2022-12-08,118.49469899362643
2022-12-09,118.57488476313603
2022-12-12,118.57488476313603
2022-12-13,118.55355015237205
2022-12-14,118.84778618533025
2022-12-15,118.1763171433869
2022-12-16,119.05747759423416
2022-12-19,119.05747759423416
2022-12-20,119.05747759423416
2022-12-21,119.05747759423416
2022-12-22,119.05747759423416
2022-12-23,119.03716162121395
2022-12-27,119.06167480646516
2022-12-28,119.17100864549136
2022-12-29,119.38935450796089
