,China
2021-09-24,112.47759403197004
2021-09-27,112.05533970933332
2021-09-28,111.98490024359896
2021-09-29,112.92769387203253
2021-09-30,112.15579024752526
2021-10-08,111.90038529019601
2021-10-11,111.69817919036507
2021-10-12,111.60940813617415
2021-10-13,111.41932169157917
2021-10-14,111.46820616064603
2021-10-15,113.02752451895206
2021-10-18,114.22520334517803
2021-10-19,114.17508399387823
2021-10-20,114.25481519670322
2021-10-21,114.46127270292898
2021-10-22,114.20621305751386
2021-10-25,114.29205393965462
2021-10-26,114.52995461235199
2021-10-27,114.32907042958556
2021-10-28,114.34230422521641
2021-10-29,114.45008265916682
2021-11-01,114.37181717099378
2021-11-02,114.41922014334929
2021-11-03,114.28746935068025
2021-11-04,114.26474875452914
2021-11-05,114.0475514529358
2021-11-08,114.19015677206869
2021-11-09,114.10510710784727
2021-11-10,114.25628148958754
2021-11-11,114.36077385778157
2021-11-12,114.29548285516682
2021-11-15,114.2535706146982
2021-11-16,114.22972558268172
2021-11-17,114.16086636863045
2021-11-18,114.22856684161897
2021-11-19,114.28487349070828
2021-11-22,114.15670773472549
2021-11-23,114.2479590004875
2021-11-24,113.98334472916855
2021-11-25,113.95941699334773
2021-11-26,113.80778442789148
2021-11-29,113.96133129284087
2021-11-30,113.83586861850365
2021-12-01,113.77419964864805
2021-12-02,113.61531701942123
2021-12-03,113.61748919633263
2021-12-06,113.48580183287508
2021-12-07,113.78946967851708
2021-12-08,113.65650601054458
2021-12-09,113.71819928095516
2021-12-10,113.76356149118023
2021-12-13,113.62343153485213
2021-12-14,113.68903217323782
2021-12-15,113.67993402701559
2021-12-16,113.77537467499596
2021-12-17,113.8869807582233
2021-12-20,113.86822764585641
2021-12-21,113.9342767057443
2021-12-22,113.85704176374152
2021-12-23,113.86845994377839
2021-12-24,113.78896720953735
2021-12-27,113.86625949663545
2021-12-28,113.68303874864031
2021-12-29,113.75296992924875
2021-12-30,113.77040229154227
2021-12-31,113.75449287599922
2022-01-04,113.88481309801325
2022-01-05,114.11407972667398
2022-01-06,113.90212409274073
2022-01-07,114.09752216940674
2022-01-10,113.96778627787472
2022-01-11,113.77191025430807
2022-01-12,113.68872865911028
2022-01-13,113.59375112661805
2022-01-14,113.95565119757372
2022-01-17,114.03679614915265
2022-01-18,113.45466561642372
2022-01-19,113.50413561331649
2022-01-20,113.51131988493684
2022-01-21,113.34726605636831
2022-01-24,113.31466352016378
2022-01-25,113.69027528924771
2022-01-26,113.47468953663984
2022-01-27,113.46400004873848
2022-01-28,113.19273606120174
2022-02-07,113.09304389170465
2022-02-08,113.21680758601151
2022-02-09,113.28238517010993
2022-02-10,114.27711970993546
2022-02-11,115.41490158383982
2022-02-14,115.40335358983673
2022-02-15,115.33190089471378
2022-02-16,115.4847578697568
2022-02-17,115.47426529362681
2022-02-18,114.9325019002546
2022-02-21,115.3018456927817
2022-02-22,115.1730570846337
2022-02-23,115.23747597425317
2022-02-24,115.2411976832958
2022-02-25,115.33584693335553
2022-02-28,115.33721336885559
2022-03-01,115.34526702747571
2022-03-02,115.23339578862326
2022-03-03,115.37200719408088
2022-03-04,115.43830080868796
2022-03-07,115.31435062956031
2022-03-08,115.23859701928005
2022-03-09,115.25592165108525
2022-03-10,115.54677610092628
2022-03-11,115.7991789587183
2022-03-14,115.90681911775611
2022-03-15,116.16953398322597
