,Chile
2019-03-05,100.65300870971198
2019-03-06,100.8620098693008
2019-03-07,100.72418292926561
2019-03-08,101.0238804183321
2019-03-11,100.95645198416281
2019-03-12,101.05120437983457
2019-03-13,101.27800347862872
2019-03-14,101.2515145380702
2019-03-15,101.11142853558749
2019-03-18,101.13724383747878
2019-03-19,101.10521135379031
2019-03-20,101.10121386878164
2019-03-21,101.19503673364707
2019-03-22,101.13969168363649
2019-03-25,101.25100785357341
2019-03-26,100.98545046232724
2019-03-27,101.02885098461954
2019-03-28,100.99063543706282
2019-03-29,100.99737840646277
2019-04-01,100.94602713015759
2019-04-02,101.0592813942212
2019-04-03,100.9170367076164
2019-04-04,100.72257221544393
2019-04-05,100.71985156208481
2019-04-08,100.84560429268848
2019-04-09,100.87485140748136
2019-04-10,100.71211614478102
2019-04-11,100.98448391998569
2019-04-12,101.0485651959056
2019-04-15,100.68607285735523
2019-04-16,100.61053002551365
2019-04-17,100.79118298009837
2019-04-18,100.91266417489936
2019-04-22,100.89073141080425
2019-04-23,100.84732549364696
2019-04-24,100.8180576401519
2019-04-25,100.78451638902548
2019-04-26,100.94238767329293
2019-04-29,101.03917845803412
2019-04-30,100.7936932922805
2019-05-02,100.87903257094474
2019-05-03,100.87835839161276
2019-05-06,100.85786469335902
2019-05-07,100.97350674176148
2019-05-08,100.91203384962995
2019-05-09,100.70679120852053
2019-05-10,100.75898976215343
2019-05-13,100.97180469082447
2019-05-14,100.9779275840683
2019-05-15,100.90574882645573
2019-05-16,100.89993176580745
2019-05-17,100.82791673101312
2019-05-20,100.7608852972419
2019-05-21,100.75123117048727
2019-05-22,100.48039804766786
2019-05-23,100.91721715194883
2019-05-24,100.6511539661607
2019-05-27,100.90454719231778
2019-05-28,101.76667451498696
2019-05-29,101.57225142059652
2019-05-30,101.53202453247332
2019-05-31,101.1093371889265
2019-06-03,101.33934459875987
2019-06-04,101.36875337185971
2019-06-05,101.68701574891703
2019-06-06,101.46292921630034
2019-06-07,101.4987411045841
2019-06-10,101.07239136785087
2019-06-11,101.05899469326883
2019-06-12,101.03450631462185
2019-06-13,100.9442337503709
2019-06-14,100.77064772800387
2019-06-17,100.62013733374681
2019-06-18,100.7050448376327
2019-06-19,100.67471835949856
2019-06-20,100.66311464154838
2019-06-21,100.79894917030722
2019-06-24,100.99062714237851
2019-06-25,100.9523976294735
2019-06-26,100.93660256155353
2019-06-27,101.29593488962207
2019-06-28,101.22853720810883
2019-07-01,101.4217741047581
2019-07-02,101.39805984835985
2019-07-03,101.39649009028761
2019-07-04,101.3957691665681
2019-07-05,101.64051077105975
2019-07-08,101.36694601703115
2019-07-09,101.36301758474917
2019-07-10,101.3499601180929
2019-07-11,101.56307764129228
2019-07-12,101.33935513861363
2019-07-15,101.39192195938568
2019-07-17,101.4350664734883
2019-07-18,101.53991505445661
2019-07-19,101.4798709311896
2019-07-22,101.46189708598902
2019-07-23,101.64807600591284
2019-07-24,101.50807185400954
2019-07-25,101.54067120883556
2019-07-26,101.78351840286936
2019-07-29,101.55779255364533
2019-07-30,101.75227449321326
2019-07-31,101.9996751068441
2019-08-01,102.04752300591898
2019-08-02,101.97236512831269
2019-08-05,101.97968840245477
2019-08-06,102.16564793028627
2019-08-07,101.97013435758173
2019-08-08,102.01688087241696
2019-08-09,101.98269681735074
2019-08-12,102.20765564373082
2019-08-13,102.1068202912116
2019-08-14,102.45250977402327
2019-08-16,102.55210720599553
2019-08-19,102.50150694368239
2019-08-20,102.58661856199178
2019-08-21,102.60450682417567
2019-08-22,102.70908197209133
2019-08-23,102.49805915208792
2019-08-26,102.59758401655273
2019-08-27,102.37110047055351
2019-08-28,102.33590504485399
2019-08-29,102.55691311969348
2019-08-30,102.33060444311035
2019-09-02,102.35961196880854
2019-09-03,102.33199411479394
2019-09-04,102.30722538999579
2019-09-05,102.09629924454089
2019-09-06,102.23573702788724
2019-09-09,102.45225835648006
2019-09-10,102.2923029032142
2019-09-11,102.48092968062733
2019-09-12,102.4084908101689
2019-09-13,102.32667402129339
2019-09-16,102.48492850148871
2019-09-17,102.52930246514038
2019-09-23,102.76492213635433
2019-09-24,102.59480886714714
2019-09-25,102.75453299883756
2019-09-26,102.50534987027254
2019-09-27,102.4332683373141
2019-09-30,102.31268587673934
2019-10-01,102.25787365913884
2019-10-02,102.20355742707396
2019-10-03,102.18602010001159
2019-10-04,102.10263581615928
2019-10-07,102.00988452199218
2019-10-08,101.89238928829833
2019-10-09,101.97179889177876
2019-10-10,101.73445198619171
2019-10-11,101.60322049188753
2019-10-14,101.73402079947525
2019-10-15,101.79747459962158
2019-10-16,101.76476712116396
2019-10-17,101.5163175312576
2019-10-18,101.38252272854538
2019-10-21,101.1737021702875
2019-10-22,100.78443789487321
2019-10-23,101.37800947354908
2019-10-24,100.95485545176399
2019-10-25,100.90730879381024
2019-10-28,100.36576874105869
2019-10-29,100.4338071834633
2019-10-30,100.55046764596031
2019-11-04,100.77837017058692
2019-11-05,100.73389056074538
2019-11-06,100.48036427620204
2019-11-07,100.20844721990758
2019-11-08,100.25898686114812
2019-11-11,100.10182736239209
2019-11-12,99.85612800554054
2019-11-13,99.80453258962048
2019-11-14,99.85892750947124
2019-11-15,100.3144806573363
2019-11-18,100.2146278032776
2019-11-19,99.7830076385084
2019-11-20,99.84466421508074
2019-11-21,100.16650271502803
2019-11-22,100.1800167191863
2019-11-25,100.50343002231905
2019-11-26,100.59530381940445
2019-11-27,100.32899640768511
2019-11-28,100.33522617083841
2019-11-29,100.11005029666298
2019-12-02,100.56474098239082
2019-12-03,100.83962905118891
2019-12-04,100.8978156060979
2019-12-05,100.981167726398
2019-12-06,100.8024498575528
2019-12-09,100.93320372858214
2019-12-10,100.77822325854642
2019-12-11,100.62410980611732
2019-12-12,100.73547458549181
2019-12-13,100.73349227721027
2019-12-16,100.53632377812151
2019-12-17,100.78187705714019
2019-12-18,100.93109443534615
2019-12-19,100.995406649247
2019-12-20,100.98221569506671
2019-12-23,101.10960298782632
2019-12-24,101.18683993143327
2019-12-26,101.22851493560428
2019-12-27,101.2925552903537
2019-12-30,101.30390680234885
2020-01-02,101.36713496587959
2020-01-03,101.21259634391812
2020-01-06,101.34713595798873
2020-01-07,101.08235646516472
2020-01-08,101.05142333104868
2020-01-09,101.03667504517493
2020-01-10,100.98270411953325
2020-01-13,101.02010592823834
2020-01-14,100.87248223919238
2020-01-15,101.25394225055584
2020-01-16,101.27377553623262
2020-01-17,101.3179642201125
2020-01-20,101.23504888243711
2020-01-21,101.33562453259408
2020-01-22,101.32350260213008
2020-01-23,101.1771146274951
2020-01-24,101.33896014156957
2020-01-27,101.32195808275159
2020-01-28,101.27560835203965
2020-01-29,101.29107542239844
2020-01-30,100.9865068101397
2020-01-31,100.96933863369748
2020-02-03,100.92674886528768
2020-02-04,100.73673482848307
2020-02-05,100.52959456291855
2020-02-06,100.48987998947025
2020-02-07,100.59122898559019
2020-02-10,100.5603493842552
2020-02-11,100.76849254660057
2020-02-12,100.55146172309539
2020-02-13,100.51672976814143
2020-02-14,100.49900152439577
2020-02-17,100.80859319975379
2020-02-18,100.60969445744146
2020-02-19,100.41815445741773
2020-02-20,100.32872775256523
2020-02-21,100.9617524445481
2020-02-24,100.602889566194
2020-02-25,100.54385243535752
2020-02-26,100.74563828389525
2020-02-27,100.83936573959198
2020-02-28,100.7639698488549
2020-03-02,100.35032517078879
2020-03-03,100.34133044995986
2020-03-04,100.7326021292436
2020-03-05,100.7712027049716
2020-03-06,100.59774972295317
2020-03-09,100.42031765361527
2020-03-10,100.33790053085694
2020-03-11,100.3679456183583
2020-03-12,100.8643700972345
2020-03-13,101.79453525680024
2020-03-16,102.18476898131277
2020-03-17,102.19034988775057
2020-03-18,101.67341936781942
2020-03-19,101.58625458268484
2020-03-20,102.36745776769718
2020-03-23,101.99679244341296
2020-03-24,101.87176205938025
2020-03-25,101.88304240024809
2020-03-26,102.12251147666025
2020-03-27,102.01238464753474
2020-03-30,102.11994016130174
2020-03-31,102.24075163819111
2020-04-01,102.44218173862514
2020-04-02,102.5126179053474
2020-04-03,102.56612611393629
2020-04-06,102.49937055308098
2020-04-07,102.66591811909491
2020-04-08,102.96736668823524
2020-04-09,103.11408086998807
2020-04-13,103.1313977649284
2020-04-14,103.29550726774153
2020-04-15,103.40023091414781
2020-04-16,103.33397407648313
2020-04-17,103.36201996710099
2020-04-20,103.3493599666376
2020-04-21,103.51535392917054
2020-04-22,103.4424871661126
2020-04-23,103.29575032172514
2020-04-24,103.25522921542205
2020-04-27,103.22843873896794
2020-04-28,103.34559086715018
2020-04-29,103.27528998098998
2020-04-30,103.53905345787537
2020-05-04,103.88917679297353
2020-05-05,103.7463520064526
2020-05-06,103.80531712756719
2020-05-07,103.73119269836906
2020-05-08,103.8549465923465
2020-05-11,103.99336248437199
2020-05-12,103.84351363794771
2020-05-13,103.92742104686221
2020-05-14,104.0249448644035
2020-05-15,103.91414929856275
2020-05-18,103.93829759932616
2020-05-19,103.91158180442972
2020-05-20,103.77830437970988
2020-05-22,103.67486143311058
2020-05-25,103.71025399620875
2020-05-26,103.64883979895623
2020-05-27,103.56437431959331
2020-05-28,103.66543897460092
2020-05-29,103.64070749461025
2020-06-01,103.55967236416379
2020-06-02,103.3771546677085
2020-06-03,103.4748488601138
2020-06-04,103.43366335219908
2020-06-05,103.50322551848976
2020-06-08,103.37327180516291
2020-06-09,103.3412653373922
2020-06-10,103.45631047289419
2020-06-11,103.43210085231375
2020-06-12,103.46991375618086
2020-06-15,103.45562620771804
2020-06-16,103.35305517130391
2020-06-17,103.42502905825268
2020-06-18,103.58556882522458
2020-06-19,103.7105946209598
2020-06-22,103.48254051376979
2020-06-23,103.30298011044907
2020-06-24,103.37529896272764
2020-06-25,103.62606169205444
2020-06-26,103.4229550736376
2020-06-30,103.27776768433748
2020-07-01,103.41395104968103
2020-07-02,103.4072525020121
2020-07-03,103.46463137290857
2020-07-06,103.47570809196462
2020-07-07,103.46584969769961
2020-07-08,103.51212867106679
2020-07-09,103.05463412400914
2020-07-10,103.14371581584734
2020-07-13,103.22978850420606
2020-07-14,102.97643055658905
2020-07-15,102.9683060568446
2020-07-17,102.85061970825421
2020-07-20,102.589337976843
2020-07-21,102.60234697559028
2020-07-22,102.61421045714808
2020-07-23,102.52571477288903
2020-07-24,102.3022803102092
2020-07-27,102.35579179855914
2020-07-28,102.37815794211062
2020-07-29,102.56642587047884
2020-07-30,102.57491551498073
2020-07-31,102.1631746504319
2020-08-03,102.10745678236282
2020-08-04,102.09757761629838
2020-08-05,102.02323478965008
2020-08-06,102.26375027652175
2020-08-07,102.50568680996639
2020-08-10,102.36413933937484
2020-08-11,102.16628162368818
2020-08-12,102.0567451700965
2020-08-13,102.18434827738136
2020-08-14,102.35796920401529
2020-08-17,102.21032179659568
2020-08-18,102.21816489234286
2020-08-19,102.06967925235107
2020-08-20,102.04367692160426
2020-08-21,101.88130540513339
2020-08-24,102.0959746361554
2020-08-25,101.9481972274024
2020-08-26,101.6906285556538
2020-08-27,101.40781749034613
2020-08-28,101.54906774441312
2020-08-31,101.36893980766123
2020-09-01,101.26738083365726
2020-09-02,101.43831023223653
2020-09-03,101.4217046145025
2020-09-04,101.22874313523977
2020-09-07,101.22672690664866
2020-09-08,101.24085026415368
2020-09-09,101.38723887454108
2020-09-10,101.09940304148657
2020-09-11,101.19144581217365
2020-09-14,101.22791961946103
2020-09-15,101.63864457165441
2020-09-16,101.50377894907392
2020-09-17,101.55919162954541
2020-09-21,101.76823189838802
2020-09-22,101.6427382578103
2020-09-23,101.57920761903046
2020-09-24,101.26388701849515
2020-09-25,100.89013462245862
2020-09-28,101.02996264483917
2020-09-29,101.32217482740155
2020-09-30,101.6594330932993
2020-10-01,101.76048752945374
2020-10-02,101.83800855399797
2020-10-05,101.63810746845678
2020-10-06,101.41509267079476
2020-10-07,101.32160707506375
2020-10-08,101.32817738583803
2020-10-09,101.365334401716
2020-10-13,101.44354683166559
2020-10-14,101.54037198444068
2020-10-15,101.69325093160182
2020-10-16,101.3301778330667
2020-10-19,101.0934159011613
2020-10-20,101.41786320304
2020-10-21,101.27000181509771
2020-10-22,101.22503707191157
2020-10-23,101.1865793917862
2020-10-26,101.01416244887615
2020-10-27,101.08393434601848
2020-10-28,101.43553810239172
2020-10-29,101.62311853316388
2020-10-30,101.72471457743148
2020-11-02,101.48126613530712
2020-11-03,101.44485593506968
2020-11-04,100.97004365139446
2020-11-05,101.01887213551694
2020-11-06,100.9119169268886
2020-11-09,100.70269729999815
2020-11-10,100.56313675470835
2020-11-11,100.48706173312922
2020-11-12,100.29797178567385
2020-11-13,100.74327438778086
2020-11-16,100.44882869270882
2020-11-17,100.59933343444611
2020-11-18,100.87307298962467
2020-11-19,101.0743962853874
2020-11-20,101.31473514176659
2020-11-23,101.35829345391029
2020-11-24,101.13603839706423
2020-11-25,100.9267944107301
2020-11-26,101.1624430862206
2020-11-27,101.21793067268317
2020-11-30,101.05293813781103
2020-12-01,100.79490355563416
2020-12-02,100.46566765943447
2020-12-03,100.62056831672488
2020-12-04,100.48846794622798
2020-12-07,100.47087917674544
2020-12-09,100.43885672140698
2020-12-10,100.80061365024049
2020-12-11,101.07301234520062
2020-12-14,101.13368232600646
2020-12-15,101.20653205979195
2020-12-16,101.17934820764948
2020-12-17,101.04118867066909
2020-12-18,101.15307949322201
2020-12-21,100.97422824921145
2020-12-22,101.15547527697066
2020-12-23,100.96689282563362
2020-12-24,101.12526062100522
2020-12-28,101.30457190948283
2020-12-29,101.47086519633206
2020-12-30,101.34267229746447
2021-01-04,101.38885018429579
2021-01-05,101.31900607895933
2021-01-06,101.15302482455539
2021-01-07,101.10654685732668
2021-01-08,101.27012906609988
2021-01-11,101.35863408104338
2021-01-12,101.57990034414941
2021-01-13,101.52739607930776
2021-01-14,101.48843496755946
2021-01-15,101.43502211324822
2021-01-18,101.36513480327561
2021-01-19,101.7739583564351
2021-01-20,101.24739757934056
2021-01-21,101.24916671652642
2021-01-22,101.34968672709313
2021-01-25,101.22372419593675
2021-01-26,101.30380037481505
2021-01-27,101.13666169683017
2021-01-28,101.31874170206015
2021-01-29,101.24075011322186
2021-02-01,101.28262670339258
2021-02-02,101.08956905343697
2021-02-03,100.93617578666483
2021-02-04,100.73169049346093
2021-02-05,100.7325453136693
2021-02-08,100.83872881982
2021-02-09,100.97796748251855
2021-02-10,101.0628688141849
2021-02-11,100.9380249002495
2021-02-12,100.63175398450181
2021-02-15,100.78450309783453
2021-02-16,100.43775264946211
2021-02-17,100.44639347353113
2021-02-18,100.61062393456356
2021-02-19,100.66602822604686
2021-02-22,100.21605663895659
2021-02-23,99.75622130555874
2021-02-24,99.19490606244864
2021-02-25,99.05694434689137
2021-02-26,99.07485170644925
2021-03-01,99.41954064358124
2021-03-02,99.41572175267771
2021-03-03,99.53006346245503
2021-03-04,99.37208327772711
2021-03-05,99.25023954951033
2021-03-08,99.39978178226676
2021-03-09,98.89567849156442
2021-03-10,98.58306617376577
2021-03-11,98.80529307970785
2021-03-12,98.72220372339432
2021-03-15,99.0825671421376
2021-03-16,99.0074186890163
2021-03-17,98.79093828832141
2021-03-18,98.7224857506232
2021-03-19,98.74888649485399
2021-03-22,99.04075565069539
2021-03-23,99.14905110635951
2021-03-24,99.00641320317845
2021-03-25,98.89574995946923
2021-03-26,99.15837920201666
2021-03-29,99.0897364073119
2021-03-30,99.29605039776138
2021-03-31,99.92014284990896
2021-04-01,100.321714169969
2021-04-05,100.25791739105854
2021-04-06,100.69176356757983
2021-04-07,100.69216150051423
2021-04-08,100.79644663602927
2021-04-09,101.1261277322284
2021-04-12,101.26264293749271
2021-04-13,101.25774143408113
2021-04-14,101.1899761544362
2021-04-15,100.92360399390068
2021-04-16,101.15051630455811
2021-04-19,101.44836844802055
2021-04-20,101.36404412177697
2021-04-21,101.25285705355233
2021-04-22,101.29417853120903
2021-04-23,101.3591516249658
2021-04-26,101.2150440134314
2021-04-27,101.20839303827553
2021-04-28,101.23039742586204
2021-04-29,101.0736446167748
2021-04-30,101.02379214515827
2021-05-03,101.00133566121816
2021-05-04,101.09135381318168
2021-05-05,100.94877815676031
2021-05-06,101.13567885273595
2021-05-07,101.4680081597815
2021-05-10,101.48857602218374
2021-05-11,101.21524599039735
2021-05-12,101.5705794252941
2021-05-13,101.41220342311026
2021-05-14,101.68257080007442
2021-05-17,101.34394849935633
2021-05-18,101.46893971207922
2021-05-19,101.27734421894002
2021-05-20,101.13706236480556
2021-05-24,101.24821908321233
2021-05-25,101.23253753622387
2021-05-26,101.37035792047926
2021-05-27,101.57803042301813
2021-05-28,101.5210532277371
2021-05-31,101.38728166664852
2021-06-01,101.33243793760552
2021-06-02,101.65647951430073
2021-06-03,101.62014319187432
2021-06-04,101.26762801135192
2021-06-07,100.96011759741177
2021-06-08,100.65362418826793
2021-06-09,100.57181042829733
2021-06-10,100.18846282479694
2021-06-11,100.43087698806636
2021-06-14,100.6142906962204
2021-06-15,100.94859524728628
2021-06-16,101.27724547363637
2021-06-17,101.43437633213233
2021-06-18,101.30887718667947
2021-06-22,101.17689379344723
2021-06-23,100.86466051151287
2021-06-24,100.6917721132299
2021-06-25,100.83722515789448
2021-06-29,100.74395334274382
