,Brazil
2019-01-03,117.18623004281388
2019-01-04,117.26764099949894
2019-01-07,117.44212424321405
2019-01-08,117.33918697988793
2019-01-09,117.40147403865426
2019-01-10,117.49613185845762
2019-01-11,117.58629587406553
2019-01-14,117.68682484544783
2019-01-15,117.8593917387781
2019-01-16,117.80584774578703
2019-01-17,117.73113242180304
2019-01-18,117.93886484270296
2019-01-21,117.79745849439456
2019-01-22,118.12800661493974
2019-01-23,118.16385342688898
2019-01-24,117.8968008851993
2019-01-28,117.89647590020007
2019-01-29,118.0251975652552
2019-01-30,117.9069937631129
2019-01-31,118.26549174961545
2019-02-01,118.1988037724555
2019-02-04,118.19304225061602
2019-02-05,118.10368149096111
2019-02-06,118.50526981076321
2019-02-07,118.43212639072777
2019-02-08,118.36749617117464
2019-02-11,118.35446558347655
2019-02-12,118.14189608301709
2019-02-13,118.35755547890659
2019-02-14,118.16950805859558
2019-02-15,118.04730442393753
2019-02-18,118.03814692174606
2019-02-19,118.01650292322874
2019-02-20,118.09189123838128
2019-02-21,117.82004077209723
2019-02-22,117.92044089510163
2019-02-25,117.62428378839209
2019-02-26,117.84334870837397
2019-02-27,118.00853164793199
2019-02-28,117.93929057842449
2019-03-01,118.10367255506138
2019-03-06,117.78103679111187
2019-03-07,117.60284389094164
2019-03-08,117.60677559343173
2019-03-11,117.45441718384203
2019-03-12,117.476809675589
2019-03-13,117.38072108256539
2019-03-14,117.23051490733245
2019-03-15,116.70570705409065
2019-03-18,117.2201329067156
2019-03-19,116.93768697074756
2019-03-20,117.45741654346402
2019-03-21,117.73552527043256
2019-03-22,117.7906998218408
2019-03-25,117.29523609623942
2019-03-26,117.53929896813464
2019-03-27,117.04917585496489
2019-03-28,116.94824977325328
2019-03-29,116.82794113836049
2019-04-01,117.04922028663506
2019-04-02,117.17688861014508
2019-04-03,117.06512885132395
2019-04-04,117.19816642319326
2019-04-05,117.09741594586278
2019-04-08,117.28780301950022
2019-04-09,117.35225219049978
2019-04-10,117.71769888438432
2019-04-11,117.33868174144627
2019-04-12,117.35188672634504
2019-04-15,117.56881817015115
2019-04-16,117.33591459720584
2019-04-17,117.39896580525475
2019-04-18,117.59921499310234
2019-04-19,117.34649100723419
2019-04-22,117.63754594856786
2019-04-23,117.79457131972548
2019-04-24,117.3732868065622
2019-04-25,117.8256457385586
2019-04-26,118.04905354447975
2019-04-29,117.55321541243376
2019-04-30,117.67166551839688
2019-05-02,117.7353045093791
2019-05-03,117.85125087676707
2019-05-06,117.78957578983406
2019-05-07,117.86427396145085
2019-05-08,117.90243003418979
2019-05-09,118.01639344989385
2019-05-10,117.85952209497947
2019-05-13,118.01924847403625
2019-05-14,118.14584879549645
2019-05-15,118.06352885818289
2019-05-16,118.25223459977816
2019-05-17,118.42887610691955
2019-05-20,118.61336760346319
2019-05-21,118.71148489231582
2019-05-22,119.00780122625419
2019-05-23,118.37074553343008
2019-05-24,118.88278523369
2019-05-27,118.52336369304372
2019-05-28,118.57924507146409
2019-05-29,118.37345327499361
2019-05-30,118.61343206674209
2019-05-31,118.50790506046238
2019-06-03,118.36121565039768
2019-06-04,118.53913704703518
2019-06-05,118.47567369528778
2019-06-06,119.21884858152896
2019-06-07,119.43115487645244
2019-06-10,119.37569851227967
2019-06-11,119.57717059629935
2019-06-12,119.33241349048322
2019-06-13,119.2158814324595
2019-06-14,119.63031146709393
2019-06-17,118.61892249269044
2019-06-18,119.40349060013801
2019-06-19,119.22410394162719
2019-06-21,119.96635316912152
2019-06-24,120.06236941202724
2019-06-25,119.64943007676405
2019-06-26,119.44132677670281
2019-06-27,120.04245843432923
2019-06-28,120.03055635077769
2019-07-01,120.19846835978714
2019-07-02,120.38159778044368
2019-07-03,120.4400267026765
2019-07-04,119.33664271714134
2019-07-05,119.63604835194334
2019-07-08,119.53220697965796
2019-07-10,118.51995264472642
2019-07-12,118.56367140362136
2019-07-15,118.8186007981406
2019-07-16,118.62679250525822
2019-07-17,119.0881985245618
2019-07-18,119.05302710188921
2019-07-19,119.24327406824817
2019-07-22,119.32214351096641
2019-07-23,119.60017729265027
2019-07-24,119.71799104616665
2019-07-25,119.34456059315738
2019-07-26,120.15943564118881
2019-07-29,119.7861982479235
2019-07-30,119.51038062759902
2019-07-31,119.46857043034838
2019-08-01,119.38137009243637
2019-08-02,119.025969601706
2019-08-05,119.40249539439509
2019-08-06,119.34742919402632
2019-08-07,119.07876099754505
2019-08-08,119.18029791126376
2019-08-09,118.75313006539298
2019-08-12,118.9717531712186
2019-08-13,118.71029103341202
2019-08-14,118.54676452378354
2019-08-15,118.32409171309605
2019-08-16,118.31618417279905
2019-08-19,118.30029811700062
2019-08-20,118.08173369659067
2019-08-21,117.96553088728344
2019-08-22,117.77660686684919
2019-08-23,118.07565265784285
2019-08-26,117.90151344364146
2019-08-27,117.87819838546054
2019-08-28,117.53686949527926
2019-08-29,117.45092900028989
2019-08-30,116.04909678131305
2019-09-02,117.26898693150964
2019-09-03,117.0896788707638
2019-09-04,116.95173834987213
2019-09-05,117.27108567211731
2019-09-06,117.15557139142526
2019-09-09,117.1870283247245
2019-09-10,117.54012538495509
2019-09-11,117.55656419894311
2019-09-12,117.41736950101821
2019-09-13,117.53501617837591
2019-09-16,117.59422492179328
2019-09-17,117.48450559535087
2019-09-18,117.66888240556656
2019-09-19,117.57733820239741
2019-09-20,117.57008826760536
2019-09-23,117.37243017763579
2019-09-24,117.14612750416624
2019-09-25,117.05643250525415
2019-09-26,116.85376911966803
2019-09-27,116.69792952198057
2019-09-30,116.58212674453875
2019-10-01,115.78081610752591
2019-10-02,116.00132162284586
2019-10-03,116.12327019275774
2019-10-04,116.03718860063026
2019-10-07,116.2907645498718
2019-10-08,116.14702613956555
