,India
2019-11-15,144.78294992891418
2019-11-18,144.84646448533002
2019-11-19,144.8531866597663
2019-11-20,144.86535849398797
2019-11-21,144.86535849398797
2019-11-22,144.86535849398797
2019-11-25,144.86535849398797
2019-11-26,144.86535849398797
2019-11-27,144.86535849398797
2019-11-28,144.86535849398797
2019-11-29,144.86535849398797
2019-12-02,144.73967209249682
2019-12-03,144.85220606986647
2019-12-04,144.7257035174252
2019-12-05,144.7420877479232
2019-12-06,144.61251508608342
2019-12-09,144.79495559499748
2019-12-10,144.79495559499748
2019-12-11,144.79495559499748
2019-12-12,144.66292011315932
2019-12-13,144.85463911842407
2019-12-16,144.3198181419353
2019-12-17,144.757608354332
2019-12-18,144.59903479866912
2019-12-19,144.7548960270445
2019-12-20,144.7548960270445
2019-12-23,144.7548960270445
2019-12-24,144.7548960270445
2019-12-25,144.61687169164915
2019-12-26,144.8674134620696
2019-12-27,144.60881231548163
2019-12-30,144.83089780802317
2019-12-31,144.73098642702115
2020-01-01,144.8130764596757
2020-01-02,144.8130764596757
2020-01-03,144.8130764596757
2020-01-06,144.64593641290494
2020-01-07,144.47269016053107
2020-01-08,144.59903216393062
2020-01-09,144.4352500998684
2020-01-10,144.9663871345533
2020-01-13,144.8086493340349
2020-01-14,144.7664265909812
2020-01-15,145.147574185026
2020-01-16,145.147574185026
2020-01-17,145.147574185026
2020-01-20,145.147574185026
2020-01-21,145.147574185026
2020-01-22,145.147574185026
2020-01-23,145.147574185026
2020-01-24,145.147574185026
2020-01-27,144.97699940300845
2020-01-28,145.04033756068202
2020-01-29,145.6302540648296
2020-01-30,145.75641271215284
2020-01-31,145.75641271215284
2020-02-03,145.75641271215284
2020-02-04,145.5836727183645
2020-02-05,145.25438769773388
2020-02-06,145.18108400219205
2020-02-07,144.95042459488928
2020-02-10,145.12135370743152
2020-02-11,145.5035455156781
2020-02-12,145.5035455156781
2020-02-13,145.31796280995852
2020-02-14,145.93841895172886
2020-02-17,145.93841895172886
2020-02-18,145.93841895172886
2020-02-19,145.93841895172886
2020-02-20,145.93841895172886
2020-02-24,145.93841895172886
2020-02-25,145.93841895172886
2020-02-26,145.93841895172886
2020-02-27,145.93841895172886
2020-02-28,145.7660860389482
2020-03-02,146.5366580269909
2020-03-03,145.9291817205916
2020-03-04,145.9291817205916
2020-03-05,145.9291817205916
2020-03-06,145.7776177397974
2020-03-09,145.53934614909315
2020-03-10,146.2128691451349
2020-03-11,145.45285774294823
2020-03-12,145.7089447125991
2020-03-13,144.61133983706688
2020-03-16,144.7509996684818
2020-03-17,144.03456426065776
2020-03-18,146.10314622407702
2020-03-19,146.10314622407702
2020-03-20,146.10314622407702
2020-03-23,146.01135422390647
2020-03-24,147.2467663879554
2020-03-26,147.2467663879554
2020-03-27,147.2467663879554
2020-03-30,147.2467663879554
2020-03-31,147.2467663879554
2020-04-01,147.2467663879554
2020-04-02,147.2467663879554
2020-04-03,147.2467663879554
2020-04-06,147.2467663879554
2020-04-07,147.2467663879554
2020-04-08,147.2467663879554
2020-04-09,147.2467663879554
2020-04-13,147.2467663879554
2020-04-14,147.2467663879554
2020-04-15,147.2467663879554
2020-04-16,147.16472186876055
2020-04-17,147.05743010603527
2020-04-20,146.80001452502898
2020-04-21,146.38981518428696
2020-04-22,146.51030415931484
2020-04-23,146.56203456762466
