,US,EU,Mexico,Chile,Brazil,India,China
2017-10-13,100.66482337307112,102.31944603517717,100.07669220557808,100.0,103.09844172050522,100.39568045338444,102.57606561946326
2017-10-16,100.55270335819688,102.31052337065772,100.24213997849373,100.0,103.06705423615882,100.42242761453387,102.57606561946326
2017-10-17,100.5374179409132,102.32168935693558,100.18618679482285,100.0,102.99462340394584,100.43189805391204,102.57606561946326
2017-10-18,100.5508457494716,102.31861370193424,100.1370951627959,100.0,102.97304992101284,100.44349618990078,102.57606561946326
2017-10-19,100.62435093473948,102.3175447536363,100.16829719839784,100.0,102.94564042544762,100.44349618990078,102.57606561946326
2017-10-20,100.5510948729048,102.31763216049843,100.1967569370392,100.0,102.9074767869911,100.44349618990078,102.57606561946326
2017-10-23,100.57471647203502,102.32108446793676,100.1962529411138,100.0,102.87115748493464,100.47490446102856,102.57606561946326
2017-10-24,100.53306988463446,102.3318974597758,100.25593515709484,100.0,102.84770184606148,100.51642712049728,102.57606561946326
2017-10-25,100.52538183323055,102.3393479443064,100.2527260134234,100.0,102.8191928241511,100.48876096414124,102.57606561946326
2017-10-26,100.48252544866992,102.32903140227384,100.25614185116456,100.0,102.822553211477,100.52147475450242,102.57606561946326
2017-10-27,100.5251288175436,102.33476788698852,100.25016376431864,100.0,102.88354422070154,100.53185465083784,102.57606561946326
2017-10-30,100.54958867895851,102.33800948239708,100.22288594729962,100.0,102.86862408226732,100.52518769921008,102.57606561946326
2017-10-31,100.48384731001644,102.34151067401636,100.2354788172596,100.0,102.89032765860192,100.55783900876033,102.57606561946326
2017-11-01,100.44773715947134,102.34463555728072,100.25040291362394,100.0,102.86439810805912,100.53333892560434,102.57606561946326
2017-11-07,100.43206908826988,102.35097540670816,100.22644199358471,100.0,102.80553367411729,100.56345095613332,102.57606561946326
2017-11-08,100.42368916390951,102.34663937739153,100.27215621384072,100.0,102.79337027543374,100.6080813431636,102.57606561946326
2017-11-09,100.41915789340293,102.3254511648273,100.2115143115564,100.0,102.77755890564904,100.5907619927698,102.57606561946326
2017-11-10,100.34640458950264,102.30898378292268,100.27256611127018,100.0,102.76309470821904,100.62054512586268,102.57606561946326
2017-11-13,100.30229828486638,102.3111324672138,100.26805244055936,100.0,102.75317046104864,100.61996996150732,102.57606561946326
2017-11-14,100.3496497486268,102.31893359893134,100.30182840717936,100.0,102.7348328924331,100.70355678481536,102.57606561946326
2017-11-15,100.38480979590383,102.32505502485336,100.35695260518824,100.0,102.71673673484986,100.68857025656057,102.57606561946326
2017-11-16,100.31747373491469,102.3371147224988,100.2553979834415,100.0,102.6921289423488,100.77361401505271,102.57606561946326
2017-11-17,100.35443948248684,102.343328577365,100.37351550028946,100.0,102.68136180079826,100.8083690856174,102.57606561946326
2017-11-20,100.27505509788304,102.35913699443388,100.37351550028946,100.0,102.68136180079826,100.83694690964236,102.57606561946326
2017-11-21,100.28325652952094,102.36619663424112,100.35122170198076,100.0,102.6032341471904,100.82699303170808,102.57606561946326
2017-11-22,100.38477767758413,102.37702273705706,100.3024367596832,100.0,102.63585094925892,100.86076777488738,102.57606561946326
2017-11-24,100.35478221717476,102.37155203451972,100.5995736047734,100.0,102.58429278158914,100.8915565964332,102.57606561946326
2017-11-27,100.35951703493085,102.37537934591543,100.60164401843213,100.0,102.58758998060952,100.8915565964332,102.57606561946326
2017-11-28,100.36349454530074,102.38612844954558,100.56318615985616,100.0,102.57882941785196,100.95493310308656,102.57606561946326
2017-11-29,100.32073227532004,102.36918872680847,100.5283990072193,100.0,102.59253346469836,100.96120592108312,102.57606561946326
2017-11-30,100.34824243388478,102.36604080125149,100.51138503526307,100.0,102.5614494515134,100.97495774787372,102.57606561946326
2017-12-01,100.37860484049604,102.37264253856657,100.52405769474748,100.0,102.55914727917926,100.97495774787372,102.57606561946326
2017-12-04,100.3906605530772,102.38967826115136,100.5224587143236,100.0,102.53393832006076,100.99810292398044,102.57606561946326
2017-12-05,100.41087506873778,102.4034467004492,100.46021196740588,100.0,102.56044559774776,101.00258912900796,102.57606561946326
2017-12-06,100.43923057593976,102.4206474375546,100.46871345672147,100.0,102.55057275938871,100.97260367463844,102.57606561946326
2017-12-07,100.48705270562223,102.4338456876472,100.47330936989324,100.0,102.55150059715253,100.98188033536404,102.57606561946326
2017-12-08,100.48669966477932,102.44660661603724,100.4831819773686,100.0,102.5969834395782,101.00333622667954,102.57606561946326
2017-12-11,100.48226969690108,102.47212470051596,100.4108220240919,100.0,102.6373184428394,101.0368529220292,102.57606561946326
2017-12-12,100.49230427280476,102.47723725772616,100.40038912570095,100.0,102.57384726092778,101.03886747278229,102.57606561946326
2017-12-18,100.499376912031,102.49058373465516,100.21965224210643,100.0,102.76474169562732,101.04554531653532,102.57606561946326
2017-12-19,100.48227664688328,102.50793440747805,100.2677488240683,100.0,102.75551100298524,101.04554531653532,102.57606561946326
2017-12-20,100.48665743497418,102.47514923985788,100.27374301265294,100.0,102.78098367278814,101.04554531653532,102.57606561946326
2017-12-22,100.46103963914932,102.44596883479367,100.33412576645767,100.0,102.80988103152865,101.21198919898222,102.57606561946326
2017-12-26,100.46488689796274,102.44596883479367,100.37608206723375,100.0,102.85169843800996,101.21198919898222,102.57606561946326
2017-12-27,100.47422159026056,102.44155435504732,100.3851157441956,100.0,102.89547456807712,101.21752830871584,102.57606561946326
2017-12-28,100.4819496742107,102.44130378955867,100.40501104058936,100.0,102.90168614538705,101.32781213258426,102.48600357415366
2017-12-29,100.49445196631406,102.42819039941982,100.44388046329364,100.0,102.90168614538705,101.35961838595288,102.48600357415366
2018-01-02,100.46504384902492,102.46158204741408,100.44024175071232,100.0,103.02305628919387,101.43886035823274,102.43804159487031
2018-01-04,100.45382052927214,102.48532513136423,100.4320380474658,100.0,103.06152180342804,101.45844041947215,102.4352285327252
2018-01-05,100.4456573546458,102.49004466493786,100.40864790448109,100.0,102.98210371681996,101.33989751716538,102.44975212727944
2018-01-08,100.46332193033396,102.50673006707562,100.39824955396826,100.0,102.9919467885255,101.34601852996347,102.44975212727944
2018-01-09,100.45337195994482,102.4763045013075,100.39374252842336,100.0,103.02092256485264,101.42793817993504,102.44975212727944
2018-01-10,100.46227653290836,102.4607518902076,100.36424887647468,100.0,102.97159439749986,101.5057860181778,102.45108220555134
